membro,pagina,tipo_anotacao,comentario,trecho_proximo
Fernando (FIOCRUZ-RO),10,Highlight,Tem que explicar. Fundamentar. Isto aqui é um documento didático/acadêmico e não um artigo científico.,"(Running et al., 2004; Running; Zhao, 2021): a Produtividade Primária Bruta (GPP) distinguir os três níveis de fluxo de carbono estimados pelo algoritmo MODIS/MOD17 síntese particularmente informativa do funcionamento ecológico terrestre. É importante Nesse ce"
Fernando (FIOCRUZ-RO),10,Highlight,"subtrair, adicionalmente ? reescrever","Running; Zhao, 2021). manutenção dos demais tecidos vivos, sendo um produto de agregação anual (Zhao et al., 2005; Primária Líquida (NPP) é obtida ao subtrair, adicionalmente, a respiração de crescimento e de da GPP descontada a respiração de manutenção de fol"
Fernando (FIOCRUZ-RO),10,Highlight,Então: PSN = GPP - (Respiração de folhas e raízes finas) - NPP,"líquido de carbono assimilado em escala subanual, sendo um indicador direto da atividade A PSN, fornecida em escala de oito dias pelo produto MOD17A2H, representa o saldo Running; Zhao, 2021). manutenção dos demais tecidos vivos, sendo um produto de agregação "
Fernando (FIOCRUZ-RO),10,Highlight,explicar isso tb,"fotossintética da vegetação e um proxy robusto da resposta do ecossistema às condiçõe s líquido de carbono assimilado em escala subanual, sendo um indicador direto da atividade A PSN, fornecida em escala de oito dias pelo produto MOD17A2H, representa o saldo R"
Fernando (FIOCRUZ-RO),10,Highlight,Não estou vendo evidência de que o balanço hídrico exerce controle no Cerrado? Para isto deveria trazer algum dado para comparação.,"que a oferta hídrica exerce forte controle sobre o ritmo da atividade fotossintética. Essa precipitação anual entre 800 e 1.800 mm e marcada sazonalidade, exemplifica um regime em estação seca e chuvosa sobre a evapotranspiração e a assimilação de carbono. O C"
Fernando (FIOCRUZ-RO),12,Highlight,A vegetação de pasto transpira menos que arvores nativas ? mas o pasto tem mais folhas não ?,"os fluxos do ecossistema (Dionizio et al., 2020). Por fim, as queimadas removem a cobertura pastagem e lavoura reduz a evapotranspi ração e a fixação de carbono, alterando os estoques e Cerrado e na sua fronteira agrícola no oeste da Bahia, a conversão da vege"
Fernando (FIOCRUZ-RO),13,Highlight,explicar que é um modelo de previsão de índice de inibição de atividade celular baseado em características de moléculas conhecidamente inibidoras e não inibidoras,"estrutura - atividade (QSAR), cuja contribuição metodológica relevante reside na construção desenvolvida por Guimarães et al. (2024), originalmente aplicada à predição quantitativa estrutura adotada neste trabalho inspira -"
Fernando (FIOCRUZ-RO),16,Highlight,Tudo isto aqui deve ser colocado na introdução.,"índices de precipitação. O interior e o Norte, dominados pela Caatinga, caracterizam - se por Atlântica, apresentam clima tropical úmido, com temperaturas médias elevadas e maiores Do ponto de vista climático, o litoral e o leste do estado, onde predomina a Ma"
Fernando (FIOCRUZ-RO),17,Highlight,"Quais ? Numa dissertação não pode haver ""indefinições"" ou generalizações metodológicas pois devemos nos preocupar com a reprodutibilidade","derivam, respectivamente, dos produtos MOD17A2H e MOD16, ambos do sensor MODIS a regi onais. A variável resposta, a Fotossíntese Líquida (PSN), e a evapotranspiração (EV) (Moderate Resolution Imaging Spectroradiometer), complementados por bases climáticas orga"
Fernando (FIOCRUZ-RO),18,Highlight,Explicar se conseguimos acesar esses dados por web ? Ou necessitamos de um acesso específico aos dados,Variável Descrição Unidade Tabela 1 - Variáveis para predição da Fotossíntese Líquida (PSN).
Fernando (FIOCRUZ-RO),19,Highlight,"se considerarmos que no modelo esses dois parâmetros sejam dados por sin + cos, então   Quando os meses forem 1 e 2 os valroes serão maiores que 1 = 1,37  e quando forem 7 e 8 serão menores que -1 = -1,37",saz = ( ) ( )
Fernando (FIOCRUZ-RO),19,Highlight,"em contrapartida pode forncecer sazonalidades artificiais, não ?","A variável de área queimada apresentou distribuição fortemente assimétrica, janeiro, incorporando ao modelo o comportamento cíclico sazonal das variáveis ambientais. lineares artificiais entre os meses do ano, além de evitar descontinuidades entre dezembro e E"
Fernando (FIOCRUZ-RO),19,Highlight,Poderia explicar,"de valores extremamente baixos sobre a estimação dos coeficientes do modelo . Durante a 3% durante o processo de treinamento, com o objetivo de reduzir a influência desproporcional A variável resposta (PSN) foi submetida à winsorização unilateral no limite inf"
Fernando (FIOCRUZ-RO),20,Highlight,o modelo dado por Guimarães também foi feito empiricamente até o grau 8,"aplicação de validação cruzada substituição à definição prévia do grau 4; e (iii) ampliação do protocolo de validação, com determinação empírica do grau polinomial por meio da comparação dos graus 1 a 5, em com regularização L2, visando reduzir o overfitting a"
Fernando (FIOCRUZ-RO),20,Highlight,faltou a representação do grau > 1.,0 𝑖 𝑖 𝑖𝑗 𝑖 𝑗
Fernando (FIOCRUZ-RO),21,Highlight,para verificar a colinearidade entre as variáveis é feito um pre-processamento que evita o overfitting.  executa-se o relatorio df.corr()  que mostra a correlação entre as variáveis. Aquelas com corrrelação repetidas são excluídas.,"Regressão Ridge restringe a magnitude dos coeficientes e estabiliza o ajuste na presença de estimação por Mínimos Quadrados Ordinários (MQO) utilizada por Guimarães et al. (20 24), a à penalização L2 aplicada aos coeficientes, controlada pelo parâmetro α. Dife"
Fernando (FIOCRUZ-RO),21,Highlight,Qual a %¨de separação de treino e teste ? Em ennhum momento se fala,"sobre o mesmo conjunto de variáveis preditoras do modelo, isto é, EV , PRE, TST, WAI, BURN reservado exclusivamente para a avaliação do desempenho preditivo. A busca foi conduzida aninhado para a otimização desse hiperparâmetro. O conjunto de teste externo per"
Fernando (FIOCRUZ-RO),21,Highlight,não foi fixado.. está errado!,"sistematicamente os graus 1 a 5, adotando - se como critério de seleção a maximiz ação do R² no em substituição à fixação prévia do grau 4 adotada no estudo de referência. Foram comparados A ordem polinomial N foi tratada como hiperparâmetro a ser otimizado em"
Fernando (FIOCRUZ-RO),21,Highlight,Ainda não ficou claro quantos e quais são treino e quais são teste,"entre R² de treino e R² de teste. A avaliação do sobreajuste não se baseou em um limiar rígido conjunto de teste associada à minimização do gap de overfitting , definido como a diferença"
Fernando (FIOCRUZ-RO),22,Highlight,duas dessas variaveis são correções (sazsin e sazcos). Elas deveriam ser fixas e as combinacoes entre as outras 5 ?,"combinações por bioma, cada uma avaliada de forma independente sob o mesmo protocolo de EV , PRE, TST, WAI, BURNlog, sazsin e sazcos. Esse procedimento resulta em C(7,5) = 21 combinações possíveis de cinco preditores, a partir de um conjunto inicial de sete ca"
Fernando (FIOCRUZ-RO),22,Highlight,Errado de novo. Foram testados mais de 400 variáveis com combinações de de 3,"possíveis. A seleção final em cada bioma foi definida pelo critério composto que c onsidera, presente abordagem permite uma avaliação empírica e exaustiva do espaço de combinações Diferentemente do estudo de referência, que adotou seleção a priori dos descrito"
Fernando (FIOCRUZ-RO),22,Highlight,a alta generalçiazação é determinada pelo R2 no grupo de teste.,"A justificativa empírica para a inclusão das variáveis candidatas baseia de generalização. evitando - se a escolha de modelos com elevado poder explicativo, porém com baixa capacidade simultaneamente, o maior valor médio de R² no conjunto de teste e o menor ga"
Fernando (FIOCRUZ-RO),23,Highlight,poderia fazer um esquema gráfico explicando esta divisão ?,"avaliada. Esse protocolo fornece a estimativa principal do desempenho ao reduzir a cinco splits e trinta repetições, resultando em 150 partições de validação para cada combinação A validação cruzada foi realizada por meio do protocolo RepeatedKFold"
Fernando (FIOCRUZ-RO),24,Highlight,onde estão estes dados ?,"PSN. Essa escolha permitiu preservar, na avaliação diagnóstica, os eventos e xtremos da cauda o conjunto completo de dados (n = 240), utilizando os valores originais e não winsorizados da A análise de resíduos foi conduzida por meio de um ajuste diagnóstico re"
Fernando (FIOCRUZ-RO),25,Highlight,Não foi isso. Foi feito a média de todos os modelos permutados e apresentado. O valor R2 da validação cruzada ficou semelhante ao R2 do conjunto de treino e teste. Existe um critério de que não pode haver diferenca entre os dois R2 maior que 30%.. mas o modelo de referencia ficou semelhante,"entre o R² de validação cruzada do modelo original e o R² médio dos modelos permutado s. O Guimarães et al. (2024) para modelos QSAR, exige diferença superior a 60 pontos percentuais Adotaram - se dois critérios complementares de validação. O primeiro, herdado"
Fernando (FIOCRUZ-RO),26,Text,Quem é o grupo de teste ?,Figura 2 — Fluxo metodológico do modelo MRMP - N. sintetizado na Figura 2.
Fernando (FIOCRUZ-RO),26,Text,mostrar a tabela com os dados,Figura 2 — Fluxo metodológico do modelo MRMP - N. sintetizado na Figura 2.
Fernando (FIOCRUZ-RO),29,Highlight,Não pra caatinga,"de overfitting reduzido no Cerrado e na Caatinga e próximo ao patamar de referência de 10 ótimo para os três biomas analisados, por maximizar o R² no conjunto de teste mantendo o gap A comparação sistemática entre os graus polinomiais 1 a 5 confirmou o grau 2 "
